Probe Name,Annotation,h3k4me3,20191001_cd1_J11_11.RCC,20191001_cd1_J01_01.RCC,20191001_cd1_J03_03.RCC,20191001_cd1_J06_06.RCC,20191001_cd1_J07_07.RCC,20191001_cd2_J14_02.RCC,20191001_cd2_M02_04.RCC,20191001_cd2_M08_10.RCC,20191001_cd2_M09_11.RCC,20191002_cd3_M20_10.RCC,20191002_cd3_M21_11.RCC,20191003_cd4_M32_10.RCC,20191001_cd1_J10_10.RCC,20191001_cd1_J12_12.RCC,20191001_cd1_J02_02.RCC,20191001_cd1_J04_04.RCC,20191001_cd1_J05_05.RCC,20191001_cd1_J08_08.RCC,20191001_cd1_J09_09.RCC,20191001_cd2_J13_01.RCC,20191001_cd2_M10_12.RCC,20191001_cd2_M01_03.RCC,20191001_cd2_M03_05.RCC,20191001_cd2_M04_06.RCC,20191001_cd2_M05_07.RCC,20191001_cd2_M06_08.RCC,20191001_cd2_M07_09.RCC,20191002_cd3_M11_01.RCC,20191002_cd3_M12_02.RCC,20191002_cd3_M13_03.RCC,20191002_cd3_M14_04.RCC,20191002_cd3_M15_05.RCC,20191002_cd3_M16_06.RCC,20191002_cd3_M17_07.RCC,20191002_cd3_M18_08.RCC,20191002_cd3_M19_09.RCC,20191002_cd3_M22_12.RCC,20191003_cd4_M23_01.RCC,20191003_cd4_M24_02.RCC,20191003_cd4_M25_03.RCC,20191003_cd4_M26_04.RCC,20191003_cd4_M27_05.RCC,20191003_cd4_M28_06.RCC,20191003_cd4_M29_07.RCC,20191003_cd4_M30_08.RCC,20191003_cd4_M31_09.RCC,20191003_cd4_M33_11.RCC,20191003_cd4_M34_12.RCC
ABL2_A,Aditi,gain,47.01,1045.62,225.8,60.45,857.24,353.98,120.51,41.08,166.2,122.83,96.62,27.3,49.18,38.06,30.37,40.89,59.12,56.67,33.44,69.96,62.25,52.82,26.58,69.88,63.5,97.67,54.17,67.81,71.66,46.23,53.07,69.36,48.81,81.62,84.26,28.86,44.69,35.37,76.65,42.12,28.72,40.64,54.7,62.67,35.46,47.99,53.6,46.78
ACTA2_A,Aditi,gain,94.02,1045.62,677.39,120.9,2571.71,117.99,723.06,164.32,332.4,225.18,193.25,136.5,49.18,27.01,65.79,40.89,45.98,27.42,59.45,17.49,23.62,46.32,43.78,86.18,63.5,55.93,31.21,34.86,72.28,69.8,171.45,63.06,21.96,67.22,54.69,9.62,34.37,39.01,33.33,20.17,25.13,49.35,20.19,34.82,31.32,34.28,21.39,33.29
AKAP13_A,Aditi,gain,94.02,1045.62,1806.36,60.45,1714.48,471.98,361.53,164.32,498.6,388.95,276.07,191.1,59.01,52.8,86.04,8.18,59.12,51.18,52.02,46.64,36.75,83.71,68.79,121.12,156.87,73.46,32.13,53.25,135.14,61.64,48.99,81.98,42.88,45.61,69.48,112.05,20.62,49.94,78.32,38.58,37.69,65.31,49.56,113.73,43.73,81.79,57.36,62.98
ANO1_A,Aditi,gain,188.05,1045.62,225.8,362.71,857.24,353.98,180.76,328.64,166.2,122.83,82.82,54.6,162.28,67.53,247.99,179.92,105.1,149.9,130.04,99.11,60,40.63,71.92,137.42,57.89,82.65,56.92,64.75,83.6,83.4,108.18,50.45,43.58,38.41,147.82,49.24,94.53,72.3,163.3,70.79,77.18,75.47,24.96,35.98,73.28,33.3,100.38,59.38
ARHGAP23_Alt,Aditi,gain,564.15,2091.24,1354.77,483.61,857.24,1297.93,3735.8,3389.12,664.8,143.3,552.14,163.8,236.05,751.43,490.93,965,3208.11,932.3,1159.25,938.66,871.45,1228.76,4870.25,3419.25,2948.21,849.84,673.86,703.42,1318.72,883.88,1475.71,1015.23,270.52,312.09,459.72,130.73,146.09,790.65,768.19,137.68,155.27,451.39,222.85,338.87,631.79,432.44,591.24,430.95
ATP9B_A,Aditi,loss,47.01,1045.62,225.8,181.35,857.24,707.96,120.51,82.16,166.2,40.94,82.82,136.5,34.42,133.83,131.59,49.07,82.76,106.03,152.34,101.06,172.49,91.83,120.39,139.75,274.53,172.81,123.02,144.82,187.31,108.79,79.6,100.89,84.02,110.43,102,150.54,84.22,140.45,154.97,113.97,68.21,79.83,78.93,134.62,95.15,110.68,103.44,130.46
BCAR3_A,Aditi,loss,235.06,1045.62,225.8,181.35,857.24,117.99,301.27,20.54,2326.81,818.84,372.7,409.5,29.51,9.82,35.43,57.25,14.45,34.73,22.29,13.6,5.62,26.01,12.51,18.63,20.54,10.02,38.1,10.34,11.31,25.38,102.05,31.53,7.32,110.43,143.38,13.02,39.53,9.88,13.33,8.85,44.87,71.12,16.52,4.64,10.05,5.88,14.34,6.3
BTBD3_A,Aditi,loss,329.09,1045.62,225.8,906.76,857.24,1769.91,1325.61,410.8,1163.41,532.25,980.05,887.26,668.8,548.84,627.58,408.9,772.47,1113.27,538.75,501.4,403.1,359.2,240.78,549.69,583.91,550.14,358.96,629.47,542.45,653.62,806.23,233.31,435.07,662.58,659.27,329.37,567.18,473.35,783.18,601,437.08,651.68,652.76,353.96,663.7,402.56,414.46,467.84
C1orf54_A,Aditi,gain,752.2,2091.24,2483.75,483.61,1714.48,1533.92,241.02,143.78,664.8,532.25,759.2,436.8,152.45,36.83,232.81,408.9,69.63,104.2,178.35,153.53,12,53.64,45.34,128.11,42.33,16.7,52.33,59.38,71.03,67.08,122.47,44.14,32.77,348.1,243.9,66.78,154.69,41.09,109.98,75.74,208.22,50.8,88.48,37.14,65.01,42.61,64.18,43.19
C2_A,Aditi,gain,94.02,1045.62,1128.98,60.45,857.24,353.98,241.02,102.7,332.4,102.36,234.66,109.2,29.51,15.96,55.67,24.53,55.18,27.42,29.72,40.81,22.87,17.88,7.82,34.94,27.39,22.54,11.93,32.95,44.63,26.29,65.32,56.75,12.2,12,13.3,12.45,27.5,19.25,21.66,9.56,12.56,21.77,7.71,22.05,8.87,12.73,25.62,19.79
C4orf48_A,Aditi,gain,94.02,1045.62,903.18,181.35,2571.71,471.98,421.78,164.32,166.2,143.3,110.43,54.6,29.51,63.85,25.31,65.42,64.37,65.81,85.46,25.26,49.12,56.89,43.78,160.71,189.24,127.73,33.97,59.77,203.65,65.27,63.27,81.98,26.84,19.21,35.48,29.99,24.06,47.86,83.32,37.87,17.95,33.38,18.72,67.31,30.14,63.67,51.95,43.19
CDC25B_A,Aditi,gain,188.05,1045.62,225.8,60.45,3428.95,117.99,180.76,102.7,332.4,307.07,124.23,150.15,29.51,18.42,20.24,8.18,32.84,7.31,11.15,21.38,25.12,24.38,43.78,30.28,34.86,32.56,12.39,34.48,73.54,29.92,18.37,37.83,20.22,24.01,19.22,20.94,39.53,25.49,36.66,24.78,18.85,55.15,15.05,55.7,7.09,12.24,19.04,19.79
CHN1_A,Aditi,gain,235.06,2091.24,903.18,302.25,857.24,1887.9,301.27,944.85,664.8,429.89,414.11,191.1,442.59,901.22,561.78,294.41,271.94,457.01,490.45,229.32,647.21,368.95,329.9,402.95,615.66,755.51,394.77,590.01,421.77,313.66,322.49,372.04,332.23,177.65,289.73,265.42,225.15,302.74,336.6,411.99,144.5,155.3,273.88,210.05,171.98,362.9,212.05,184.44
CPNE5_A,Aditi,loss,47.01,1045.62,225.8,181.35,857.24,1533.92,241.02,184.86,831.01,368.48,193.25,68.25,147.53,84.72,101.22,106.31,89.33,140.76,111.47,124.38,108.74,104.02,115.7,197.98,121.39,139.41,112.92,156.7,189.83,93.37,67.36,145.03,58.22,26.41,112.34,36.79,140.94,67.62,301.61,95.21,53.85,74.02,161.17,35.98,52.6,40.65,105.79,53.08
CRYM_A,Aditi,gain,1692.45,2091.24,1806.36,2962.09,2571.71,3775.8,6085.74,1088.63,10969.27,7001.12,2788.32,2730.02,501.6,287.31,536.48,850.51,488.7,477.12,683.66,285.68,265.11,494.92,742.66,982.92,403.39,363.98,535.69,504.19,849.19,882.97,1261.4,693.64,325.6,1236.34,1977.82,428.41,771.71,518.61,528.23,290.59,958.52,606.69,346.21,306.37,328.01,267.4,441.49,341.88
DAB2IP_Alt,Aditi,gain,141.04,1045.62,677.39,664.96,857.24,707.96,241.02,41.08,498.6,1023.56,69.02,40.95,14.75,1.23,30.37,65.42,2.63,29.25,3.72,3.89,1.87,1.63,17.2,2.33,8.72,3.34,34.89,3.45,3.14,4.53,20.41,6.31,2.09,2.4,7.39,2.83,3.44,9.88,3.33,1.06,1,5.81,1.84,1.16,1,1.96,1,1.8
DNASE1L1_A,Aditi,gain,1504.4,7319.34,2257.95,3808.41,2571.71,1533.92,1084.59,842.14,7977.65,3684.8,2429.43,1897.36,1249.08,503.41,1255.15,858.69,639.78,707.45,862.01,373.13,321.36,338.07,422.14,535.71,410.86,400.71,385.59,334.47,431.82,669.93,1130.77,573.83,259.72,1274.75,1423.5,372.95,417.65,332.39,634.88,158.21,621.96,470.26,583.37,307.53,328.6,264.46,246.84,238.42
DNM1_A,Aditi,gain,1222.32,5228.1,1806.36,2901.64,3428.95,4719.75,1265.35,1745.91,6814.24,3213.96,1338.95,1078.36,1863.79,890.17,3041.72,834.15,444.04,1137.03,1660.85,285.68,1017.69,395.77,911.51,617.24,1210.16,923.31,2068.86,799.2,602.16,2446.76,2214.59,617.97,592.64,667.38,1058.39,151.1,598.12,243.44,328.27,255.19,547.47,523.96,104.27,271.56,369.38,161.12,572.91,411.16
DPYSL3_A,Aditi,gain,94.02,1045.62,225.8,120.9,2571.71,235.99,60.25,205.4,166.2,204.71,96.62,109.2,54.09,56.48,65.79,24.53,56.49,159.04,66.88,71.91,48.37,54.45,51.59,149.07,75.32,65.95,45.44,63.22,88,34.45,36.74,100.89,47.06,21.61,41.39,59.42,68.75,43.69,99.98,57.34,13.46,58.06,55.07,59.19,48.46,34.28,57.36,76.47
DST_Alt,Aditi,gain,47.01,1045.62,225.8,181.35,857.24,353.98,120.51,20.54,166.2,61.41,124.23,109.2,29.51,24.56,40.49,49.07,5.25,25.59,29.72,15.55,15.37,34.13,17.2,27.95,16.19,20.87,16.98,15.32,16.34,23.57,44.9,18.92,11.85,28.81,47.3,9.05,48.12,14.04,43.33,15.93,32.31,18.87,22.76,11.61,20.09,10.28,13.87,8.1
